,zero_crossing_rate,spectral_centroids,spectral_rolloff,spectral_flux,chroma11,mfcc0,mfcc_delta_0,mfcc1,mfcc2,mfcc3,mfcc_delta_3,mfcc4,mfcc5,mfcc7,mfcc10,mfcc_accelerate_10,mfcc11,mfcc12,gfcc4,gfcc7,gfcc13,Species
0,0.0780664800520888,1839.1566197957209,3713.8640574919873,1.179437,0.4892693,-542.88495,-0.046145797,57.37317,46.06831,54.69528,-0.033336543,6.5450144,29.31261,6.0103116,14.70311,-0.020158622,2.8887,14.327877,7.679698384253556,-2.9245836701428045,0.8816634425229098,coromandelica
1,0.3185969323723465,3672.9554294059785,5910.042827720538,1.183284,0.3479215,-519.99384,0.00028801867,41.137024,-7.9096303,26.818195,-0.0008576649,-26.058538,8.102692,-19.510962,-4.36075,0.0005503023,-9.553414,-5.0473866,19.62619017864681,6.615908194562983,0.0469657783102996,coromandelica
2,0.3533335877085877,4389.667212788148,7886.046253551136,1.4060549,0.36893412,-390.50348,0.07451022,36.602585,26.951511,19.61124,0.027856087,-13.667816,28.08668,19.592545,8.886354,-0.010581289,-0.8604675,3.0292192,29.29708037386246,11.892919932319623,9.625261019097778,coromandelica
3,0.3185969323723465,3672.9554294059785,5910.042827720538,1.183284,0.3479215,-519.99384,0.00028801867,41.137024,-7.9096303,26.818195,-0.0008576649,-26.058538,8.102692,-19.510962,-4.36075,0.0005503023,-9.553414,-5.0473866,19.62619017864681,6.615908194562983,0.0469657783102996,coromandelica
4,0.1546272630457933,2432.5321549741925,4946.740024161274,1.354797,0.5317889,-451.8998,0.74025184,82.18327,62.86296,50.03685,-0.027522454,-13.76213,32.550636,12.396566,13.942032,0.01803172,-19.432072,4.173377,11.27171651543695,7.1809025441025724,-3.7971912843914,coromandelica
5,0.1228606773197748,1471.701580567678,2312.853260869565,1.1030041,0.16676772,-587.5077,1.1889261,130.08128,-46.41351,-9.889526,0.030619118,-0.08027361,-13.280893,11.905584,-9.434469,0.013712431,-18.31216,10.875992,-5.121070613958577,12.76424258424588,-2.489250995327075,coromandelica
6,0.1122091288782816,1901.2871796461177,3316.318603806615,1.5670843,0.5222619,-337.47974,0.22959639,80.41799,22.836044,63.438126,0.09030588,6.0899158,21.012592,9.812386,4.1143293,0.0007757143,-2.541257,5.7738175,24.122911775812955,-25.23082486562206,11.750054809856303,coromandelica
7,0.3185969323723465,3672.9554294059785,5910.042827720538,1.183284,0.3479215,-519.99384,0.00028801867,41.137024,-7.9096303,26.818195,-0.0008576649,-26.058538,8.102692,-19.510962,-4.36075,0.0005503023,-9.553414,-5.0473866,19.62619017864681,6.615908194562983,0.0469657783102996,coromandelica
8,0.7037767584998165,7409.92237871689,9658.58205772308,1.4016871,0.14058657,-491.24316,0.07834374,-2.0058172,136.83482,-26.017248,0.059207067,-35.27463,-29.560472,-28.702084,-12.982023,-0.006046231,-22.498686,-11.621727,-2.294348368651609,-55.356567953019216,31.82686252283873,coromandelica
9,0.7331026759774766,7562.921316101404,9631.77031397884,1.4852632,0.10514277,-514.62366,0.11342821,-26.014736,134.7646,-6.862659,-0.0023614296,-37.359898,-39.87018,-34.850685,-27.792967,0.0051448825,-19.868534,-15.30922,-6.874149445158917,-52.37617810099478,32.20335823664946,coromandelica
10,0.0493392759402611,1177.5665620656216,2267.1502075195312,1.4507453,0.6123829,-520.5195,0.37139374,90.34404,39.521477,52.849014,0.15682508,8.747553,22.10504,10.447175,3.8854399,0.015086514,-0.4192392,1.088979,8.884301825497936,-0.2153259738849141,-2.1122703248949937,coromandelica
11,0.3185969323723465,3672.9554294059785,5910.042827720538,1.183284,0.3479215,-519.99384,0.00028801867,41.137024,-7.9096303,26.818195,-0.0008576649,-26.058538,8.102692,-19.510962,-4.36075,0.0005503023,-9.553414,-5.0473866,19.62619017864681,6.615908194562983,0.0469657783102996,coromandelica
12,0.7098910194509588,7267.125632258068,8868.960653472846,1.1239241,0.116154395,-440.7636,0.013425362,-118.17082,2.6783185,-23.036413,0.005006848,-13.187694,5.2980604,6.244872,-16.408514,-0.00025216353,11.9192915,-10.34418,40.2027958543306,-44.9875231146436,7.889594825735455,coromandelica
13,0.0493392759402611,1177.5665620656216,2267.1502075195312,1.4507453,0.6123829,-520.5195,0.37139374,90.34404,39.521477,52.849014,0.15682508,8.747553,22.10504,10.447175,3.8854399,0.015086514,-0.4192392,1.088979,8.884301825497936,-0.2153259738849141,-2.1122703248949937,coromandelica
